display  D   display_settings.c:357  _al_score_display_settings       [   0.01456] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01457] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01459] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01460] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01461] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01462] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01463] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01465] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01466] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01468] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01469] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01471] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01472] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01473] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01474] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01475] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01477] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01478] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01479] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01480] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01481] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01482] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01484] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01485] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01486] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01487] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01488] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01489] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01491] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01492] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01493] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01494] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01495] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01496] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01498] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01499] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01500] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01501] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01502] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01503] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01505] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01506] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01507] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01508] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01509] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01510] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01512] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01513] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01514] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01516] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01517] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01518] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01519] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01520] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01521] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01523] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01524] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01525] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01526] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01527] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01529] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01530] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01531] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01532] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01533] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01534] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01535] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01537] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01538] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01539] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01540] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01541] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01542] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01544] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01545] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01546] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01547] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01548] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01549] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01551] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01552] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01553] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01554] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01555] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01557] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01558] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01559] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.01560] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01562] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01563] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01564] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01566] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01567] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01568] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01569] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01570] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01571] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01573] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01574] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01575] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01576] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01577] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01579] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01580] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01581] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01582] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01583] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01585] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01586] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01587] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01588] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01589] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01590] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01592] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01593] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01594] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01595] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01596] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01598] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01599] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01600] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01601] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01602] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01604] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01605] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01606] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01607] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01609] Single Buffer requirement not met.
