display  D   display_settings.c:486  _al_score_display_settings       [   0.03066] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03067] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03068] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03072] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03073] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03075] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03076] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03077] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03078] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03080] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03081] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03082] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03083] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03084] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03086] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03087] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03088] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03089] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03091] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03092] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03093] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03094] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03096] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03097] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03098] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.03099] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03101] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03102] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03103] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03105] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03106] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03107] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03108] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03110] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03111] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03112] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03113] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03115] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03116] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03117] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03118] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03119] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03121] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03122] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03123] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03124] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03126] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03127] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03128] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03129] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03130] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03132] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03133] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03134] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03135] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03137] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03138] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03139] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03140] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03142] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03143] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03145] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03146] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03147] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03149] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03150] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03151] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03152] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03154] Single Buffer requirement not met.
