display  D   display_settings.c:486  _al_score_display_settings       [   2.79657] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   2.79659] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   2.79660] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   2.79661] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   2.79662] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   2.79663] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   2.79665] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79666] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   2.79667] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   2.79668] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   2.79669] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   2.79671] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   2.79672] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   2.79673] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   2.79674] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79675] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   2.79677] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   2.79678] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   2.79679] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   2.79680] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   2.79681] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   2.79683] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   2.79684] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79685] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   2.79686] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   2.79687] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   2.79689] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   2.79690] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   2.79691] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   2.79692] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   2.79693] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79695] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79696] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79698] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79699] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79700] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79702] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79703] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79704] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79705] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79706] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79707] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79709] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79710] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79711] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79712] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79713] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79715] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79716] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79717] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79718] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79719] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79720] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79722] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79723] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79724] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79725] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79726] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79728] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79729] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79730] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79731] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79732] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79733] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79735] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79736] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79737] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79738] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79739] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79741] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79742] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79743] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79744] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79745] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79746] Single Buffer requirement not met.
