display  D   display_settings.c:486  _al_score_display_settings       [   0.01974] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01976] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01978] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01983] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01985] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01987] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01989] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01991] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01993] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01995] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01997] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01999] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02001] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02003] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02007] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02009] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02010] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02012] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02014] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02016] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02018] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02020] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02022] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02024] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02026] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02027] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02029] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02031] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02033] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02052] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02054] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02056] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02058] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02060] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02062] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02064] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02066] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02068] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02070] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02072] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02074] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02075] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02077] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02079] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02082] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02084] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02086] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02088] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02090] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02092] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02093] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02095] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02097] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02099] Score is : 593
