display  D   display_settings.c:357  _al_score_display_settings       [   0.04035] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04036] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04037] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04039] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04040] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04041] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04042] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04043] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04045] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04046] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04047] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04048] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04049] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04050] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04052] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.04053] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04054] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04055] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04056] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04058] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04059] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04069] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04070] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04073] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04075] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04076] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.04077] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.04078] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.04079] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.04080] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.04082] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04083] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04084] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04085] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.04086] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.04088] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.04089] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.04090] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.04091] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04092] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04093] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04095] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.04096] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.04097] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.04098] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.04099] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.04100] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04102] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04103] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04104] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.04105] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.04106] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.04107] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.04109] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.04110] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04111] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04112] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04113] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.04114] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.04116] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.04117] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.04118] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.04119] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04120] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04122] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04124] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.04125] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.04126] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.04128] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.04129] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.04130] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04131] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04133] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04134] Score is : 593
