display  D   display_settings.c:486  _al_score_display_settings       [   0.02181] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02183] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02185] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02187] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02189] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02191] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02193] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02195] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02197] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02199] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02201] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02203] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02205] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02207] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02209] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02211] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02212] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02214] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02216] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02218] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02220] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02222] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02224] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02226] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02228] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02230] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.02232] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02234] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02236] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02238] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02241] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02243] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02245] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02247] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02249] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02251] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02253] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02255] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02257] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02259] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02261] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02263] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02265] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02267] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02269] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02272] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02274] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02276] Single Buffer requirement not met.
