system   W            wsystem.c:504  load_library_at_path             [   0.00047] Failed to load C:\Users\Brad\Desktop\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\GTMod2Extreme\Debug\d3d9.dll (error: 126)
display  D   display_settings.c:486  _al_score_display_settings       [   0.05647] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05649] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05650] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05652] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05653] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05655] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05656] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05658] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05659] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05661] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05666] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05669] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05670] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05672] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05675] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05678] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05679] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05681] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05682] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05683] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05684] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05686] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05687] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05688] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05689] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05690] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05691] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05692] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05693] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05694] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05696] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05697] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05698] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05699] Score is : 714
